City,Latitude,Longtitude,country,iso2,State,capital,Population,population_proper
Whittlesea,-37.5139,145.114,Australia,AU,Victoria,,5611,5611
Whyalla,-33.0333,137.5667,Australia,AU,South Australia,,21742,21742
Wilberforce,-33.5594,150.841,Australia,AU,New South Wales,,3007,3007
Williamstown,-34.6721,138.8884,Australia,AU,South Australia,,2755,2755
Wilton,-34.24,150.7011,Australia,AU,New South Wales,,3080,3080
Wingham,-31.85,152.367,Australia,AU,New South Wales,,5374,5374
Wodonga,-36.1214,146.8881,Australia,AU,Victoria,,35130,18948
Wollert,-37.597,145.033,Australia,AU,Victoria,,9060,9060
Wollongbar,-28.815,153.4011,Australia,AU,New South Wales,,2828,2828
Wollongong,-34.4331,150.8831,Australia,AU,New South Wales,,302739,289236
WongaPark,-37.739,145.267,Australia,AU,Victoria,,3796,3796
Wonthaggi,-38.6056,145.5917,Australia,AU,Victoria,,4965,4965
Woodend,-37.363,144.526,Australia,AU,Victoria,,5806,5806
Woodford,-26.9408,152.7669,Australia,AU,Queensland,,3458,3458
Woodside,-34.9531,138.8742,Australia,AU,South Australia,,2608,2608
Woolgoolga,-30.115,153.2011,Australia,AU,New South Wales,,5290,5290
Woombye,-26.6667,152.967,Australia,AU,Queensland,,3246,3246
WooriYallock,-37.778,145.528,Australia,AU,Victoria,,2913,2913
Wooroloo,-31.803,116.314,Australia,AU,Western Australia,,2642,2642
Worragee,-34.9144,150.6386,Australia,AU,New South Wales,,5068,5068
Wynyard,-41,145.7167,Australia,AU,Tasmania,,6001,6001
Wyong,-33.282,151.418,Australia,AU,New South Wales,,4326,4326
Yamba,-29.4333,153.35,Australia,AU,New South Wales,,6076,6076
Yanchep,-31.55,115.634,Australia,AU,Western Australia,,8868,8868
YarrabahAboriginalCommunity,-16.9094,145.8703,Australia,AU,Queensland,,2559,2559
YarraGlen,-37.6489,145.3719,Australia,AU,Victoria,,2869,2869
YarraJunction,-37.779,145.606,Australia,AU,Victoria,,2549,2549
Yarrawonga,-36.0167,146,Australia,AU,Victoria,,7930,7930
Yass,-34.8203,148.9136,Australia,AU,New South Wales,,6506,6506
Yeppoon,-23.1333,150.7333,Australia,AU,Queensland,,19003,6334
York,-31.8883,116.7686,Australia,AU,Western Australia,,2548,2535
Young,-34.3,148.3,Australia,AU,New South Wales,,10295,10295
